52.8,20.62058
76.8,26.44657
75.5,24.5962
84.6,27.63048
56.7,22.25083
72.3,25.35542
81.6,27.56373
80.4,26.46741
69.2,25.65117
72.2,27.24594
68.3,20.39742
75.3,26.38439
70,26.16443
79.6,26.75915
70.7,27.02255
59.7,22.41835
70.7,22.8218
71.2,24.43335
77.5,26.61163
53.2,22.12984
73.2,25.78623
73.2,26.54286
58,21.27157
59.1,21.50291
66.1,20.80496
56.6,23.68173
80.8,27.4521
70.4,23.51522
54.3,21.48569
78.5,27.01542
73.4,22.92176
76.2,24.94041
67.1,22.06131
57.5,19.86692
58.8,21.87134
79.8,26.47897
55.4,22.56469
76.2,26.59629
77.6,25.06867
80,27.41899
78.9,26.13287
61.8,23.38403
74.7,25.58841
70.2,26.73243
73.7,26.36751
60.1,20.88509
74.2,26.26446
60,20.247
64.9,26.53078
79.6,26.73339
81.1,25.85329
75.11,30.86752
61.7,24.0762
65.7,21.65029
71.8,25.54942
80,27.16509
62,22.84247
80.2,26.33786
70.3,26.01359
70.8,25.17988
71.2,25.29947
57.1,22.52449
53.6,21.64338
65,23.68465
61,23.66302
71.8,25.10872
73.9,27.11568
82.4,27.20687
64.7,20.95956
69.4,21.85576
73.1,25.31003
66.6,26.71017
80.1,27.65325
80.6,27.13151
75.1,24.00421
82.5,23.50004
76.9,27.47362
67.1,26.29078
60.8,21.59258
77.3,29.17211
72.4,26.45693
44.5,21.90157
59.9,21.89537
75.6,26.54164
72.1,26.86102
81,27.43404
74.5,26.34473
62.2,21.40347
52.4,22.03468
74.5,24.73069
78.5,23.21991
58.5,21.78881
80.7,27.68361
65.3,29.37337
67.9,22.62295
72.9,25.15669
75.4,27.42468
70.4,24.2369
64.8,24.88385
76,26.55412
73.3,25.63182
54,21.93536
59.4,21.44932
59.1,22.65008
68.4,20.76344
80.3,26.01541
77,25.77291
58,21.21958
59.2,23.03322
80.8,26.93424
76.2,26.24109
64.1,22.29914
77.3,26.26959
58.6,25.01506
74,25.54223
78.2,24.77041
69.8,22.87263
75.4,26.6738
79.4,26.68445
77.9,28.13138
73.2,25.41069
67.9,26.01131
64.1,22.55453
72.3,30.42475
66,23.51233
63.5,21.92743
74.3,26.51495
53.6,22.53139
80.6,23.83996
74.9,26.92717
78.7,27.43983
52.6,21.96917
53.4,26.85538
81.1,27.49975
74,21.96671
65.5,22.40484
70.2,25.49887
45.1,23.16969
81.1,26.37629
82,26.20195
76.1,26.91969
69.6,23.77966
60.4,22.47792
73.9,23.00803
69.9,20.59082
57.5,21.87875
70.3,30.99563
71.7,26.39669
76.8,25.15699
77.8,26.70371
67.2,25.24796
56,22.35833
67.8,25.42379
75.6,28.05359
79.7,27.39249
78.3,28.45698
76,26.39123
69.6,25.32054
63.4,26.78926
74.1,26.5775
74.1,20.9163
51.1,20.68321
47.3,22.0266
